Dataset,Model,Accuracy (Mean ± Std),F1-score (minority) (Mean ± Std),Recall (minority) (Mean ± Std),G-mean (Mean ± Std),Balanced Accuracy (Mean ± Std),AUC-PR (Mean ± Std),Total Model Cost (Mean ± Std)
ALL_preprocessed,ADASYN + DT_Shallow,0.8239 ± 0.0015,0.4048 ± 0.0028,0.6120 ± 0.0041,0.7199 ± 0.0024,0.7294 ± 0.0021,0.4184 ± 0.0081,7599.4000 ± 60.5500
ALL_preprocessed,AdaBoost_SAMME,0.9097 ± 0.0010,0.3084 ± 0.0221,0.2063 ± 0.0221,0.4504 ± 0.0235,0.5961 ± 0.0096,0.4392 ± 0.0055,11583.0000 ± 279.7481
ALL_preprocessed,CASB_Ablation_NoCost,0.7451 ± 0.0229,0.3515 ± 0.0148,0.7045 ± 0.0405,0.7260 ± 0.0135,0.7270 ± 0.0131,0.3040 ± 0.0101,7561.8000 ± 379.2324
ALL_preprocessed,CASB_Balanced,0.8434 ± 0.0113,0.4446 ± 0.0104,0.6398 ± 0.0240,0.7439 ± 0.0087,0.7526 ± 0.0062,0.4498 ± 0.0089,6954.2000 ± 186.4717
ALL_preprocessed,CASB_BestF1,0.8711 ± 0.0058,0.4573 ± 0.0060,0.5552 ± 0.0243,0.7087 ± 0.0122,0.7302 ± 0.0083,0.4536 ± 0.0135,7641.8000 ± 246.7138
ALL_preprocessed,CASB_BestRecCost,0.7576 ± 0.0386,0.3887 ± 0.0264,0.7798 ± 0.0373,0.7665 ± 0.0079,0.7675 ± 0.0069,0.4321 ± 0.0205,6403.6000 ± 163.2783
ALL_preprocessed,CASB_Scan_FN_COST_VFN10_LR0.10_N100_D3,0.8053 ± 0.0130,0.4128 ± 0.0126,0.6983 ± 0.0182,0.7552 ± 0.0065,0.7576 ± 0.0061,0.4237 ± 0.0231,6756.6000 ± 172.3494
ALL_preprocessed,CASB_Scan_FN_COST_VFN12_LR0.10_N100_D3,0.5278 ± 0.0469,0.2769 ± 0.0149,0.9198 ± 0.0306,0.6668 ± 0.0282,0.7026 ± 0.0159,0.3976 ± 0.0228,7967.8000 ± 404.4758
ALL_preprocessed,CASB_Scan_FN_COST_VFN15_LR0.10_N100_D3,0.1224 ± 0.0202,0.1822 ± 0.0034,0.9990 ± 0.0006,0.1561 ± 0.0608,0.5132 ± 0.0109,0.3959 ± 0.0174,12894.6000 ± 288.9806
ALL_preprocessed,CASB_Scan_FN_COST_VFN5_LR0.10_N100_D3,0.8958 ± 0.0032,0.4346 ± 0.0123,0.4097 ± 0.0226,0.6232 ± 0.0159,0.6791 ± 0.0094,0.4307 ± 0.0088,9158.6000 ± 274.7668
